Taxa,Identification_notes,C_only,Genus,Family,Taxon_Group,Identified,Morphology,Morph,Secondary_Morphology,Morph2,Symbiosis,Symb,Calcification,Calc,Energetic_Resource,ER,Feeding_Mode,FM,Life_Span,Teixido life span,Growth_rate,GR_unit,GR_Teixido,GR_cat,Max_size,MS_unit,MS_cat,Observation_notes
Pavona chiriquiensis,"Glynn, Mate & Stemann, 2001; size based on P varians and P cf explanulata",no,Pavona,Agaricidae,Cnidaria,yes,Encrusting,Enc,Encrusting,Enc,Symbiodineaceae,Symb,Hermatypic,Herm,Mixotrophy,Mix,Passive Filter-feeding,Pas FF,Perennial,,,,,,91-140,"cm, length",51-100 cm,
Pocillopora acuta,"Lamarck, 1816; growth based on p. damicornis",,Pocillopora,Pocilloporidae,Cnidaria,yes,Branched Globular,Br Glob,Branched,Br,Symbiodineaceae,Symb,Hermatypic,Herm,Mixotrophy,Mix,Passive Filter-feeding,Pas FF,Perennial,,66.8,mm yr-1,high (5-10 cm/yr),,,,21-50 cm,max size category estimated from field survey
Pocillopora verrucosa,"Ellis and Solander, 1786",,Pocillopora,Pocilloporidae,Cnidaria,yes,Branched Globular,Br Glob,Branched,Br,Symbiodineaceae,Symb,Hermatypic,Herm,Mixotrophy,Mix,Passive Filter-feeding,Pas FF,Perennial,,37.9,mm yr-1,moderate (>1 cm/yr),,50,"cm, diameter",21-50 cm,
Porites irregularis,"Quelch, 1884; endemic to Polynesia and different from Verrill, 1864 which is a synonym of Porites rus",,Porites,Poritidae,Cnidaria,yes,Massive Digitate,Mas Dig,Massive,Mas,Symbiodineaceae,Symb,Hermatypic,Herm,Mixotrophy,Mix,Passive Filter-feeding,Pas FF,Perennial,,,,,,,,> 100 cm,max size category estimated from field survey
Porites lobata,"Dana , 1846",,Porites,Poritidae,Cnidaria,yes,Massive,Mas,Massive,Mas,Symbiodineaceae,Symb,Hermatypic,Herm,Mixotrophy,Mix,Passive Filter-feeding,Pas FF,Perennial,,18.8,mm yr-1,moderate (>1 cm/yr),,685,"cm, diameter",> 100 cm,
Porites lutea,"Milne Edwards and Haime, 1851",,Porites,Poritidae,Cnidaria,yes,Massive,Mas,Massive,Mas,Symbiodineaceae,Symb,Hermatypic,Herm,Mixotrophy,Mix,Passive Filter-feeding,Pas FF,Perennial,,23.91,mm yr-1,moderate (>1 cm/yr),,400,"cm, diameter",> 100 cm,
Porites rus,"Forskal, 1775",,Porites,Poritidae,Cnidaria,yes,Massive Digitate,Mas Dig,Massive,Mas,Symbiodineaceae,Symb,Hermatypic,Herm,Mixotrophy,Mix,Passive Filter-feeding,Pas FF,Perennial,,25.14,mm yr-1,moderate (>1 cm/yr),,500,"cm, diameter",> 100 cm,
Psammocora stellata,"Verrill, 1866",,Psammocora,Psammocoridae,Cnidaria,yes,Encrusting Digitate,Enc Dig,Digitate,Dig,Symbiodineaceae,Symb,Hermatypic,Herm,Mixotrophy,Mix,Passive Filter-feeding,Pas FF,Perennial,,18.7,mm yr-1,moderate (>1 cm/yr),,,,21-50 cm,assumed max size category estimated from field survey
Purple Sponge,Freeman and Easson 2016; Haliclona sp. Authors indicate may like artificial substrate or high nutrient environments,yes,Purple Sponge,Haliclona,Porifera,yes,Spherical,Sph,Spherical,Sph,unk,unk,Non-Calcified,NC,Heterotrophy,Het,Active Filter-feeding (pumping),Act FF,unk,,,,,,,,< 10cm,assumed max size category estimated from field survey
Rosenvingea intricata,"(J.Agardh) Borgesen, 1914",,Rosenvingea,Scytosiphonaceae,Phaeophyta,yes,Branched Globular,Br Glob,Branched,Br,Asymbiotic,Asym,Non-Calcified,NC,Autotrophy,Auto,Photosynthesis,Photo,unreported,,,,,,20,"cm, diameter",10-20 cm,
Rubble,,,Substrate,Substrate,Hard Substrate,yes,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,,Abiotic,Abiotic,,Abiotic,Abiotic,Abiotic,Abiotic,
Sand,,no,Substrate,Substrate,Sand,yes,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,,Abiotic,Abiotic,,Abiotic,Abiotic,Abiotic,Abiotic,
Sargassum pacificum,"Bory, 1828; previously Sargassum mangarevense (Grunow) Setchell, 1926",,Sargassum,Sargassaceae,Phaeophyta,yes,Branched Globular,Br Glob,Branched,Br,Asymbiotic,Asym,Non-Calcified,NC,Autotrophy,Auto,Photosynthesis,Photo,Annual,"5 years, based on S. vulgare",,,"high (5-10 cm/yr), based on S. vulgare",,20,"cm, height",10-20 cm,
Stylocoeniella armata,"Ehrenberg, 1834",no,Stylocoeniella,Astrocoeniidae,Cnidaria,yes,Encrusting,Enc,Encrusting,Enc,Symbiodineaceae,Symb,Hermatypic,Herm,Mixotrophy,Mix,Passive Filter-feeding,Pas FF,Perennial,,,,,,17,"cm, length",10-20 cm,
Turbinaria ornata,"(Turner) J.Adardh, 1848",,Turbinaria,Sargassaceae,Phaeophyta,yes,Branched Globular,Br Glob,Branched,Br,Asymbiotic,Asym,Non-Calcified,NC,Autotrophy,Auto,Photosynthesis,Photo,unk,,,,,,17,"cm, height",10-20 cm,
Turf,,,Turf,NA,Chlorophyta,yes,Filamentous,Fil,Filamentous,Fil,Asymbiotic,Asym,Non-Calcified,NC,Autotrophy,Auto,Photosynthesis,Photo,Annual,3-11 months,,,high (5-10 cm/yr),,2,"cm, height",< 10 cm,assumed max size category estimated from field survey
Valonia fastigiata,"Harvey ex J. Agardh, 1887",,Valonia,Valoniaceae,Chlorophyta,yes,Vesiculate,Ves,Cushion-like,Cushion,Asymbiotic,Asym,Non-Calcified,NC,Autotrophy,Auto,Photosynthesis,Photo,Perennial,"2 years, based on V. utricularis",,,"moderate ( > 1 cm/yr), based on V. utricularis",,10,"cm, length",< 10cm,
Valonia macrophysa,"Kutzing, 1843",,Valonia,Valoniaceae,Chlorophyta,yes,Vesiculate,Ves,Cushion-like,Cushion,Asymbiotic,Asym,Non-Calcified,NC,Autotrophy,Auto,Photosynthesis,Photo,Perennial,"2 years, based on V. utricularis",,,"moderate ( > 1 cm/yr), based on V. utricularis",,10,"cm, length",< 10cm,
Valonia ventricosa,"J.Agardh, 1887",,Valonia,Valoniaceae,Chlorophyta,yes,Vesiculate,Ves,Spherical,Sph,Asymbiotic,Asym,Non-Calcified,NC,Autotrophy,Auto,Photosynthesis,Photo,Perennial,"2 years, based on V. utricularis",,,"moderate ( > 1 cm/yr), based on V. utricularis",,5,"cm, height",< 10cm,
Verongida sp.,Freeman and Easson 2016,no,Verongida,NA,Porifera,yes,Encrusting,Enc,Encrusting,Enc,unk,unk,Non-Calcified,NC,Heterotrophy,Het,Active Filter-feeding (pumping),Act FF,unk,,,,,,,,10-20 cm,assumed max size category estimated from field survey
